949.7	X	Y	TOIT	MUR	POROSITE	SATURATION	NETPAY
970	205359.1	9350299.2	938	949.7	0.216	0.501	1
963.3	205319.5	9351792	967	970	0.263	0.397	1
962.3	206656.2	9348965.6	954	963.3	0.232	0.506	1
950	204604.8	9351184.8	953	962.3	0.222	0.472	1
947.8	206542.7	9349741.9	941	950	0.23	0.472	1
964.5	205811.9	9350687	939.1	947.8	0.2301	0.59	1
956	204879.9	9349889.9	956.1	964.5	0.2431	0.492	1
970.7	205434.5	9351171.8	946.5	956	0.235	0.537	1
965.5	205676.7	9348960.3	962.1	970.7	0.221	0.421	1
971.7	205278.7	9349424.8	956.7	965.5	0.2306	0.464	1
949.5	204491.3	9350343	963.2	971.7	0.2333	0.439	1
972.3	206127.2	9349348.4	938.5	949.5	0.2431	0.527	1
981.6	207022.4	9349391.9	962.3	972.3	0.2322	0.498	1
983	204174.3	9351635.2	972	981.6	0.2376	0.379	1
968.3	206950.3	9348476.9	973.7	983	0.2441	0.399	1
944	205013.2	9351573.6	958.9	968.3	0.2442	0.51	1
983.8	206157.4	9350210.8	934.8	944	0.2437	0.579	1
984.5	204103.9	9350793.9	975.5	983.8	0.241	0.352	1
987	204629	9352026.7	973.8	984.5	0.2372	0.376	1
967.8	206064.9	9348507.8	977.8	987	0.2381	0.36	1
974.5	206208.9	9351042.1	958.5	967.8	0.2442	0.496	1
988.7	206678.7	9350633.3	964.5	974.5	0.2434	0.472	1
988.2	207441.4	9348845.6	979	988.7	0.244	0.378	1
998.5	207056.3	9350209.5	974.5	988.2	0.2351	0.387	1
1012	207239.6	9348110	988.3	998.5	0.2503	0.279	1
977.5	204425.4	9349500.4	1002	1012	0.2591	0.229	1
1005	205854.8	9351536.3	966.8	977.5	0.2463	0.45	1
1000	207004.5	9350943	995.3	1005	0.2533	0.232	1
999.2	203717.1	9351245.8	990.7	1000	0.2397	0.4251	1
991.7	203794.9	9352074.1	989.3	999.2	0.259	0.265	1
998.8	207287.4	9349773.7	981.3	991.7	0.2397	0.4251	1
999.7	204253.3	9352468.8	988	998.8	0.2397	0.4251	1
992.3	205082	9352414.1	988.5	999.7	0.2111	0.271	1
1017	205636.4	9351991.5	981.5	992.3	0.2397	0.4251	1
978	205133	9353273.1	1005	1017	0.261	0.217	1
999	206581.2	9348530.8	968.5	978	0.2397	0.4251	1
955.2	204964.3	9349111.9	9902	999	0.2397	0.4251	1
960.5	206623.8	9349369.9	946	955.2	0.2454	0.568	1
959.5	204574.9	9350793.5	951.5	960.5	0.2397	0.4251	1
960.5	206183.5	9348989.6	950.7	959.5	0.2397	0.4251	1
967.7	205833.5	9351116.3	951	960.5	0.2397	0.4251	1
KK-42	205424.6	9351496.2	957.3	967.7	0.2411	0.514	1
