ETIQUETTE	X	Y	TOIT	MUR	POROSITE	SATURATION	NETPAY
KK-1	205359.1	9350299.2	934.5	937.8	0.196	0.597	1
KK-2	205319.5	9351792	963.5	966.5	0.196	0.5	1
KK-3	206656.2	9348965.6	951	953.3	0.221	0.524	1
KK-4	204604.8	9351184.8	950.5	952.5	0.217	0.536	1
KK-5	206542.7	9349741.9	937.8	940.2	0.21	0.554	1
KK-6	205811.9	9350687	936.3	938.2	0.214	0.602	1
KK-7	204879.9	9349889.9	953.7	955.5	0.21	0.505	1
KK-8	205434.5	9351171.8	944	945.8	0.189	0.527	1
KK-9	205676.7	9348960.3	959.7	961.5	0.182	0.476	1
KK-10	205278.7	9349424.8	954.5	956.2	0.24	0.632	1
KK-11	204491.3	9350343	960.5	962.3	0.221	0.549	1
KK-12	206127.2	9349348.4	935.8	938	0.21	0.604	1
KK-13	207022.4	9349391.9	959	961.8	0.231	0.63	1
KK-14	204174.3	9351635.2	969	971.2	0.239	0.524	1
KK-15	206950.3	9348476.9	970.5	973	0.222	0.528	1
KK-16	205013.2	9351573.6	956	958	0.226	0.587	1
KK-17	206157.4	9350210.8	932	934	0.202	0.565	1
KK-18	204103.9	9350793.9	972.5	974.5	0.223	0.499	1
KK-19	204629	9352026.7	970.8	973.2	0.208	0.504	1
KK-20	206064.9	9348507.8	974.8	977.2	0.216	0.494	1
KK-21	206208.9	9351042.1	955	957.5	0.209	0.556	1
KK-22	206678.7	9350633.3	961.4	963.7	0.214	0.583	1
KK-23	207441.4	9348845.6	976.3	978.5	0.201	0.483	1
KK-24	207056.3	9350209.5	971	974	0.214	0.543	1
KK-25	207239.6	9348110	984.7	987.7	0.225	0.468	1
KK-26	204425.4	9349500.4	1000	1001	0.261	0.296	1
KK-27	205854.8	9351536.3	963.8	966	0.214	0.558	1
KK-28	207004.5	9350943	991.3	994.8	0.232	0.242	1
KK-29	203717.1	9351245.8	988	990	0.2176	0.5219	1
KK-30	203794.9	9352074.1	986.7	988.5	0.232	0.519	1
KK-31	207287.4	9349773.7	977.5	980.5	0.2176	0.5219	1
KK-32	204253.3	9352468.8	984.5	987.4	0.2176	0.5219	1
KK-33	205082	9352414.1	984.8	987.6	0.261	0.597	1
KK-34	205636.4	9351991.5	977.5	980.7	0.2176	0.5219	1
KK-35	205133	9353273.1	1000	1004	0.225	0.252	1
KK-36	206581.2	9348530.8	965.5	968	0.2176	0.5219	1
KK-37	204964.3	9349111.9	987.3	989.5	0.2176	0.5219	1
KK-38	206623.8	9349369.9	943	945.2	0.204	0.586	1
KK-39	204574.9	9350793.5	949	951.2	0.2176	0.5219	1
KK-40	206183.5	9348989.6	948.2	950.3	0.2176	0.5219	1
KK-41	205833.5	9351116.3	948.2	950.6	0.2176	0.5219	1
KK-42	205424.6	9351496.2	954.7	956.5	0.216	0.579	1
